idx,file,subject,stage,crop,note,v:1:1,v:4:3,v:3:2,v:16:10,v:16:9,v:2:1,v:3:1,v:4:1,v:4.5:1,v:6:1
263,shutterstock_1646469193 (1).jpg,family,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
264,shutterstock_1756275173.jpg,pets,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
265,shutterstock_269273078 (1).jpg,work,s6,T,studio,pass,pass,pass,,,,,fail,fail,fail
266,shutterstock_367244801 (1).jpg,digital,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
267,shutterstock_386524096.jpg,digital,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
268,shutterstock_393514300 (1).jpg,work,s6,T,,pass,pass,pass,,,,,fail,fail,fail
269,shutterstock_416247208.jpg,mind,s5,H,,marginal,,pass,pass,pass,pass,pass,pass,,
270,shutterstock_435866839 (1).jpg,work,s6,X,suit meditating on office chair — cliché,pass,pass,pass,pass,pass,pass,pass,pass,,
271,shutterstock_448835689.jpg,outdoors,s6,H,POV hand,pass,pass,pass,pass,pass,pass,pass,pass,,
272,shutterstock_466064054.jpg,family,s6,T,maternity,pass,pass,pass,,,,,fail,fail,fail
273,shutterstock_470594660 (1).jpg,family,s6,N,newborn,pass,pass,pass,pass,pass,pass,pass,pass,,
274,shutterstock_603632939.jpg,portrait,s5,T,heart hands — 4 of 4,pass,pass,pass,,,,,marginal,,
275,shutterstock_635623724.jpg,portrait,s6,T,,pass,pass,pass,pass,pass,pass,pass,pass,,
276,shutterstock_713208043 (1).jpg,digital,s6,H,,marginal,,pass,pass,pass,pass,pass,pass,,
