idx,file,subject,stage,crop,features,note,w,h,ratio,thumb
212,iStock-601912026.jpg,move,s3,T,Challenges; Healthy Habits · Activity,,2121,1414,1.5,t212.jpg
213,iStock-611857304.jpg,move,s3,T,Challenges; Healthy Habits · Activity,effort / breathless,2394,1252,1.912,t213.jpg
214,iStock-612619528.jpg,outdoors,s5,H,Broadcast · Seasonal; Destination Challenges; Milestone; Rewards; Rewards · Earned,,2121,1414,1.5,t214.jpg
215,iStock-613241502.jpg,work,s6,T,Broadcast · Employer,,2121,1414,1.5,t215.jpg
216,iStock-614734264.jpg,move,s4,T,Challenges; Healthy Habits · Activity,stairs — steps,2138,1402,1.525,t216.jpg
217,iStock-617368256-modified-24fec599-7a03-41d0-aa61-5cae7cd037ae.jpg,social,s5,T,Broadcast · Seasonal; Milestone; Rewards; Rewards · Earned,,2529,1685,1.501,t217.jpg
218,iStock-623214156.jpg,portrait,s6,T,Challenges; Rewards,,2121,1414,1.5,t218.jpg
219,iStock-623383236.jpg,mind,s3,N,DCP · Depression/Anxiety; Healthy Habits · Mindfulness,portrait file,1414,2121,0.667,t219.jpg
220,iStock-625738384.jpg,work,s1,T,Broadcast · Employer; Conditions · Entry,burnout,2119,1414,1.499,t220.jpg
221,iStock-626188422.jpg,outdoors,s5,H,Broadcast · Seasonal; Destination Challenges; Milestone; Rewards; Rewards · Earned,,2127,1409,1.51,t221.jpg
222,iStock-636083442.jpg,move,s3,T,Challenges; Healthy Habits · Activity,hydration,2119,1414,1.499,t222.jpg
223,iStock-637774894.jpg,work,s6,T,Broadcast · Employer,,2036,1473,1.382,t223.jpg
224,iStock-643360916 (1).jpg,social,s5,H,Broadcast · Seasonal; Milestone; Rewards; Rewards · Earned,helping hand — portrait file,1865,1608,1.16,t224.jpg
225,iStock-664213460.jpg,family,s6,T,Broadcast · Seasonal; Rewards,,2121,1414,1.5,t225.jpg
226,iStock-668164180.jpg,outdoors,s3,H,Broadcast · Seasonal; Destination Challenges; Rewards,,2080,1442,1.442,t226.jpg
227,iStock-670329158.jpg,family,s6,T,Broadcast · Seasonal; Rewards,,2008,1492,1.346,t227.jpg
228,iStock-674567376.jpg,mind,s6,H,DCP · Depression/Anxiety; Healthy Habits · Mindfulness,,2027,1478,1.371,t228.jpg
229,iStock-675938412.jpg,move,s3,H,Challenges; Healthy Habits · Activity,,2029,1477,1.374,t229.jpg
230,iStock-815638746 (2).jpg,work,s1,T,Broadcast · Employer; Conditions · Entry,overwhelm,2238,1339,1.671,t230.jpg
231,iStock-815982336.jpg,data,s4,T,Biometrics; Health Data,,2119,1415,1.498,t231.jpg
232,iStock-824167622.jpg,digital,s6,T,Empty states; Journeys · Onboarding,,2299,1303,1.764,t232.jpg
233,iStock-857052046 (1).jpg,digital,s2,N,Empty states; Journeys · Enrollment; Journeys · Onboarding,hands only,2119,1414,1.499,t233.jpg
234,iStock-857786372.jpg,family,s6,T,Broadcast · Seasonal; Rewards,,2121,1414,1.5,t234.jpg
235,iStock-874231466.jpg,move,s4,T,Challenges; Healthy Habits · Activity,stairs — steps,2130,1408,1.513,t235.jpg
236,iStock-876466400 (9).jpg,digital,s6,T,Empty states; Journeys · Onboarding,,2121,1414,1.5,t236.jpg
237,iStock-886673462.jpg,move,s2,T,Challenges; Healthy Habits · Activity; Journeys · Enrollment,,2119,1414,1.499,t237.jpg
238,iStock-899959552.jpg,mind,s6,H,DCP · Depression/Anxiety; Healthy Habits · Mindfulness,,2121,1414,1.5,t238.jpg
239,iStock-901096798 (1).jpg,strength,s2,T,Challenges; Healthy Habits · Activity; Journeys · Enrollment,,5755,3837,1.5,t239.jpg
240,iStock-902827530.jpg,family,s6,T,Broadcast · Seasonal; Rewards,cycling,2298,1304,1.762,t240.jpg
241,iStock-906871772.jpg,work,s1,T,Broadcast · Employer; Conditions · Entry,,2159,1389,1.554,t241.jpg
242,iStock-923352966.jpg,family,s6,T,Broadcast · Seasonal; Rewards,,2121,1414,1.5,t242.jpg
243,iStock-931231576.jpg,nutrition,s6,T,DCP · Diabetes; Healthy Habits · Nutrition,,2119,1415,1.498,t243.jpg
244,iStock-931419404.jpg,social,s6,T,Broadcast · Seasonal; Rewards,,2178,1377,1.582,t244.jpg
245,iStock-944300692 (1).jpg,move,s6,T,Challenges; Healthy Habits · Activity,,2121,1414,1.5,t245.jpg
246,iStock-949503674.jpg,nutrition,s6,T,DCP · Diabetes; Healthy Habits · Nutrition,flat lay,2157,1390,1.552,t246.jpg
247,iStock-958727702.jpg,nutrition,s6,T,DCP · Diabetes; Healthy Habits · Nutrition,,2121,1414,1.5,t247.jpg
248,iStock-958728126.jpg,outdoors,s3,N,Broadcast · Seasonal; Destination Challenges; Rewards,portrait file,1414,2121,0.667,t248.jpg
249,iStock-959028830 (1).jpg,move,s3,H,Challenges; Healthy Habits · Activity,dupe of 250,2119,1414,1.499,t249.jpg
250,iStock-959028830-modified-3ef78345-71e4-4004-bcda-6aa3c034b128.jpg,move,s3,H,Challenges; Healthy Habits · Activity,dupe of 249,1181,788,1.499,t250.jpg
251,iStock-965432044.jpg,digital,s6,T,Empty states; Journeys · Onboarding,,2119,1414,1.499,t251.jpg
252,iStock-969233490.jpg,portrait,s6,T,Challenges; Rewards,,2125,1411,1.506,t252.jpg
253,iStock-970073902.jpg,digital,s2,N,Empty states; Journeys · Enrollment; Journeys · Onboarding,portrait; studio teal,4692,7030,0.667,t253.jpg
254,relaxed-female-runner-outdoors-picture-id1143241011 (1).jpg,move,s5,T,Challenges; Healthy Habits · Activity; Milestone; Rewards · Earned,,1024,647,1.583,t254.jpg
255,shutterstock_1022179111 (1).jpg,nutrition,s6,T,DCP · Diabetes; Healthy Habits · Nutrition,,8439,5626,1.5,t255.jpg
256,shutterstock_1038614926 (1).jpg,social,s6,T,Broadcast · Seasonal; Rewards,,4368,2912,1.5,t256.jpg
257,shutterstock_1154866195 (1).jpg,family,s6,T,Broadcast · Seasonal; Rewards,,5760,3840,1.5,t257.jpg
258,shutterstock_1329116309 (1).jpg,digital,s2,T,Empty states; Journeys · Enrollment; Journeys · Onboarding,studio teal,6144,4080,1.506,t258.jpg
259,shutterstock_1372046480 (1).jpg,family,s6,T,Broadcast · Seasonal; Rewards,,6000,4000,1.5,t259.jpg
260,shutterstock_1388859806.jpg,mind,s6,T,DCP · Depression/Anxiety; Healthy Habits · Mindfulness,studio,8495,5663,1.5,t260.jpg
261,shutterstock_1419388685.jpg,pets,s6,T,Broadcast · Seasonal; Rewards,studio pink bg,10068,5663,1.778,t261.jpg
262,shutterstock_1517173505 (2).jpg,family,s3,T,Broadcast · Seasonal; Rewards,home movement with child,6067,4045,1.5,t262.jpg
263,shutterstock_1646469193 (1).jpg,family,s6,T,Broadcast · Seasonal; Rewards,,6720,4480,1.5,t263.jpg
264,shutterstock_1756275173.jpg,pets,s6,T,Broadcast · Seasonal; Rewards,,6500,4333,1.5,t264.jpg
265,shutterstock_269273078 (1).jpg,work,s6,T,Broadcast · Employer,studio,4000,2667,1.5,t265.jpg
266,shutterstock_367244801 (1).jpg,digital,s6,T,Empty states; Journeys · Onboarding,,5760,3840,1.5,t266.jpg
267,shutterstock_386524096.jpg,digital,s6,T,Empty states; Journeys · Onboarding,,5760,3840,1.5,t267.jpg
268,shutterstock_393514300 (1).jpg,work,s6,T,Broadcast · Employer,,5472,3648,1.5,t268.jpg
269,shutterstock_416247208.jpg,mind,s5,H,DCP · Depression/Anxiety; Healthy Habits · Mindfulness; Milestone; Rewards · Earned,,5760,3840,1.5,t269.jpg
270,shutterstock_435866839 (1).jpg,work,s6,X,Broadcast · Employer,suit meditating on office chair — cliché,5699,3799,1.5,t270.jpg
271,shutterstock_448835689.jpg,outdoors,s6,H,Broadcast · Seasonal; Destination Challenges; Rewards,POV hand,8660,5773,1.5,t271.jpg
272,shutterstock_466064054.jpg,family,s6,T,Broadcast · Seasonal; Rewards,maternity,4245,2830,1.5,t272.jpg
273,shutterstock_470594660 (1).jpg,family,s6,N,Broadcast · Seasonal; Rewards,newborn,7116,4749,1.498,t273.jpg
274,shutterstock_603632939.jpg,portrait,s5,T,Challenges; Milestone; Rewards; Rewards · Earned,heart hands — 4 of 4,7952,5304,1.499,t274.jpg
275,shutterstock_635623724.jpg,portrait,s6,T,Challenges; Rewards,,5000,3337,1.498,t275.jpg
276,shutterstock_713208043 (1).jpg,digital,s6,H,Empty states; Journeys · Onboarding,,5616,3744,1.5,t276.jpg
